MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_SRR29635773_bin.25	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales			
Sg_SRR29635773_bin.26	Bacteria	Bacillota_B	Moorellia	Desulfitibacterales	Desulfitibacteraceae		
Sg_SRR29635773_bin.27	Bacteria	Bacillota_E	UBA8153	UBA8153	UBA8153		
Sg_SRR29635773_bin.3	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Desulforudaceae	Desulforudis	
Sg_SRR29635773_bin.30	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B	JAIMBK01	
Sg_SRR29635773_bin.33	Bacteria	Bacillota_G	Limnochordia	Limnochordales	Bu05	Bu05	
Sg_SRR29635773_bin.34	Bacteria	Bacillota_E	DUSP01	DUSP01			
Sg_SRR29635773_bin.4	Bacteria	Actinomycetota	Aquicultoria	Subteraquimicrobiales	Subteraquimicrobiaceae	Subteraquimicrobium	
Sg_SRR29635773_bin.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		
Sg_SRR29635773_bin.6	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia ferrariae
Sg_SRR29635773_bin.8	Bacteria	Bacillota_E	JACIYH01	JACIYH01	JACIYH01		
Sg_SRR29635773_bin.9	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B	JAIMBK01	
Sg_SRR29635774_bin.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae		
Sg_SRR29635774_bin.10	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	Yes71-27	
Sg_SRR29635774_bin.11	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae		
Sg_SRR29635774_bin.12	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	DTYU01	
Sg_SRR29635774_bin.13	Bacteria	Pseudomonadota	Gammaproteobacteria	Nevskiales	Nevskiaceae	Fontimonas	
Sg_SRR29635774_bin.14	Bacteria	Desulfobacterota_B	Binatia	Bin18	Bin18	JANWXO01	
Sg_SRR29635774_bin.15	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	PFJX01	PFJX01 sp020723405
Sg_SRR29635774_bin.16	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Tibeticola	Tibeticola sp013693755
Sg_SRR29635774_bin.17	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	JAJNDL01	
Sg_SRR29635774_bin.18	Bacteria	Bacillota_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B	JAIMBK01	
Sg_SRR29635774_bin.19	Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae	28-57-27	
Sg_SRR29635774_bin.20	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	JAAYVG01	JAAYVG01 sp020723765
Sg_SRR29635774_bin.21	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	Yes71-27	Yes71-27 sp030016455
Sg_SRR29635774_bin.24	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans_G
Sg_SRR29635774_bin.25	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	
Sg_SRR29635774_bin.28	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	DTYU01	
Sg_SRR29635774_bin.29	Bacteria	Bacillota_G	SHA-98	UBA4971	UBA4971	UBA6256	UBA6256 sp014360195
Sg_SRR29635774_bin.30	Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae	JARJMX02	
Sg_SRR29635774_bin.31	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049		
Sg_SRR29635774_bin.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Halothiobacillales	Halothiobacillaceae		
Sg_SRR29635774_bin.35	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Thiomonas	Thiomonas bhubaneswarensis
Sg_SRR29635774_bin.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidithiobacillales	Thermithiobacillaceae	Thermithiobacillus	Thermithiobacillus tepidarius
Sg_SRR29635774_bin.6	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	UBA11096	UBA11096 sp003534055
Sg_SRR29635774_bin.7	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	UBA6918	
Sg_SRR29635774_bin.8	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Tepidimonas	Tepidimonas thermarum
Sg_SRR29635774_bin.9	Bacteria	Bacillota_B	Desulfotomaculia	Ammonifexales	UBA12532	UBA12532	
Sg_SRR29635775_bin.10	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17	
Sg_SRR29635775_bin.11	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae		
Sg_SRR29635775_bin.13	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	DYIB01	DYIB01 sp020723855
Sg_SRR29635775_bin.14	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae		
Sg_SRR29635775_bin.15	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	XYB12-FULL-38-5	XYB12-FULL-38-5 sp029210465
Sg_SRR29635775_bin.17	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	JADLDB01	
Sg_SRR29635775_bin.19	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	JANWVO01	
Sg_SRR29635775_bin.2	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	RBG-16-66-20	
Sg_SRR29635775_bin.22	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	DSNY01	
Sg_SRR29635775_bin.24	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter_F	Lysobacter_F thermophilum
