MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_Unknown_BV499-003R0003_good_bin.9	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	
Sg_Unknown_BV499-003R0004_good_bin.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halobellus	
Sg_Unknown_BV499-003R0004_good_bin.14	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halovenus	
Sg_Unknown_BV499-003R0004_good_bin.16	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Salinibaculum	
Sg_Unknown_BV499-003R0004_good_bin.18	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0004_good_bin.2	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	
Sg_Unknown_BV499-003R0004_good_bin.20	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		
Sg_Unknown_BV499-003R0004_good_bin.21	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrarchaeobaculum	
Sg_Unknown_BV499-003R0004_good_bin.25	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	
Sg_Unknown_BV499-003R0004_good_bin.26	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae		
Sg_Unknown_BV499-003R0004_good_bin.28	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	B1-Br10-U2g19	
Sg_Unknown_BV499-003R0004_good_bin.3	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	
Sg_Unknown_BV499-003R0004_good_bin.4	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium bonnevillei
Sg_Unknown_BV499-003R0004_good_bin.7	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halovenus	
Sg_Unknown_BV499-008R0001_good_bin.2	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus thermolithotrophicus
Sg_Unknown_BV499-008R0001_good_bin.28	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	
Sg_Unknown_BV499-008R0001_good_bin.45	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JWKY01	
Sg_Unknown_BV499-008R0001_good_bin.5	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	
Sg_Unknown_BV499-008R0002_good_bin.11	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	JdFR-22	
Sg_Unknown_BV499-008R0002_good_bin.2	Archaea	Halobacteriota	Methanonatronarchaeia	Methanonatronarchaeales	Methanonatronarchaeaceae	PZKD01	
Sg_Unknown_BV499-008R0002_good_bin.28	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	
Sg_Unknown_BV499-008R0002_good_bin.7	Archaea	Thermoplasmatota	Thermoplasmata	Halarchaeoplasmatales	Halarchaeoplasmataceae		
Sg_Unknown_BV499-008R0003_good_bin.20	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanoanaerosalinaceae		
Sg_Unknown_BV499-008R0003_good_bin.21	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	
Sg_Unknown_BV499-008R0003_good_bin.4	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosocaldaceae	Nitrosocaldus	Nitrosocaldus cavascurensis
Sg_Unknown_BV499-008R0003_good_bin.41	Archaea	Thermoplasmatota	Thermoplasmata	Halarchaeoplasmatales	Halarchaeoplasmataceae	Natronoplasma	
Sg_Unknown_BV499-008R0003_good_bin.42	Archaea	Methanobacteriota_B	Thermococci				
Sg_Unknown_BV499-008R0003_good_bin.44	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanolobus	
Sg_Unknown_BV499-008R0003_good_bin.49	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	
Sg_Unknown_BV499-008R0003_good_bin.63	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	AG1	AG1	AG1 sp003116855
Sg_Unknown_BV499-008R0005_good_bin.9	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
Sg_Uti22014_10_11_2_bin.2	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_A	Thermococcus_A bergensis
Sg_Uti22014_10_20_2_bin.5	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus euhalobius
