MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933409_bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Idiomarina,Idiomarina baltica
Sg_CRR933409_bin.22,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Unassigned
Sg_CRR933409_bin.24,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium,Unassigned
Sg_CRR933409_bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter pelagius_A
Sg_CRR933409_bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Tistrellales,Tistrellaceae,Tistrella,Tistrella mobilis
Sg_CRR933409_bin.7,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Tsuneonella,Tsuneonella suprasediminis
Sg_CRR933409_bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,Pseudidiomarina maritima_A
Sg_CRR933410_bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Unassigned
Sg_CRR933410_bin.11,Bacteria,Patescibacteria,CPR2,UBA1875,UBA1875,UBA1875,UBA1875 sp002338125
Sg_CRR933410_bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei_C
Sg_CRR933410_bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAYGT01,Unassigned
Sg_CRR933410_bin.15,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp002282565
Sg_CRR933410_bin.16,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAYGT01,Unassigned
Sg_CRR933410_bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAYGT01,Unassigned
Sg_CRR933410_bin.20,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudodonghicola,Unassigned
Sg_CRR933410_bin.3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,Thalassospiraceae,Thalassospira,Unassigned
Sg_CRR933410_bin.4,Bacteria,Actinomycetota,Coriobacteriia,Anaerosomatales,Anaerosomataceae,JASEEU01,Unassigned
Sg_CRR933410_bin.5,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Frigidibacter,Unassigned
Sg_CRR933410_bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter lutaoensis
Sg_CRR933411_bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,SZUA-611,Unassigned
Sg_CRR933411_bin.12,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Aminidesulfovibrio,Aminidesulfovibrio aminophilus
Sg_CRR933411_bin.13,Bacteria,Bacillota,Bacilli_A,Acholeplasmatales,Acholeplasmataceae,UBA2284,Unassigned
Sg_CRR933411_bin.14,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio,Unassigned
Sg_CRR933411_bin.15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA6796,UBA6796 sp002452815
Sg_CRR933411_bin.18,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA6257,JAKJEG01,JAKJEG01 sp022705545
Sg_CRR933411_bin.19,Bacteria,Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,Sphaerochaeta,Sphaerochaeta sp020054965
Sg_CRR933411_bin.20,Bacteria,Bacillota,Clostridia,Tissierellales,Sedimentibacteraceae,Sedimentibacter,Unassigned
Sg_CRR933411_bin.24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium shandongense
Sg_CRR933411_bin.26,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Fusibacter_C,Fusibacter_C sp002441045
Sg_CRR933411_bin.27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter nauticus
Sg_CRR933411_bin.3,Bacteria,Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,UBA8525,Unassigned
Sg_CRR933411_bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sp001037495
Sg_CRR933411_bin.7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,Bact-08 sp028707695
Sg_CRR933411_bin.8,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tenuifilaceae,UBA5206,UBA5206 sp002412705
Sg_CRR933412_bin.10,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA5536,Unassigned
Sg_CRR933412_bin.11,Bacteria,Bacillota,Clostridia,Tissierellales,Dethiosulfatibacteraceae,UBA8670,UBA8670 sp003539375
