"sample","Phylum","value","group","depth","group_depth","country","BioProject","dominant_phylum"
"SRR13427962","Pseudomonadota",0.031154615,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Bacillota",5.155689593,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Bacteroidota",0.406996166,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Campylobacterota",6.259272325,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Desulfobacterota",6.211835596,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Halobacteriota",17.304906922,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Methanobacteriota",0.01989008,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Omnitrophota",21.886397467,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Others",13.598353991,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Patescibacteria",29.038394269,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427963","Pseudomonadota",0.118263589,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427964","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Bacillota",4.808839149,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Bacteroidota",0.478461765,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Campylobacterota",0.541093937,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Desulfobacterota",8.439115354,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Halobacteriota",33.685409619,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Methanobacteriota",0.019923526,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Omnitrophota",14.082282408,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Others",18.553303812,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Patescibacteria",19.391570428,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427964","Pseudomonadota",0,"oil",850,"B","Canada","PRJNA691618","Halobacteriota"
"SRR13427965","Actinomycetota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Bacillota",4.091321393,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Bacteroidota",0.232328757,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Campylobacterota",0.509746996,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Desulfobacterota",4.397763253,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Halobacteriota",8.9495669,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Methanobacteriota",0.076609531,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427965","Omnitrophota",24.301676097,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
